,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,genre,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,CC,WP,JJR,NNPS,JJS,$,FW,PDT,WDT,WP$,RBS,POS,EX
1017,3,2,12,,1,12,22,1,1,1,1,3,,,28,,,11,28,19,11,,4,,,,,,,,,,,,,
1018,4,13,3,,3,17,25,13,1,7,1,2,2,,68,3,,16,28,18,18,,5,2,4,,,,,,,,,,,
1019,16,,6,,,21,27,17,1,3,6,2,3,1,57,3,,8,14,5,22,6,10,8,,3,,,,,,,,,,
1020,6,,10,,1,43,14,6,1,,,2,,,36,,,9,18,6,32,1,,4,,,,9,,,,,,,,
1021,7,5,10,,,41,9,7,1,11,5,4,5,,25,,,13,18,15,43,,3,5,1,,1,,,,,2,,,,
1022,3,11,14,,4,7,3,2,1,3,3,32,1,1,74,,,5,24,4,18,2,4,3,,,,,,,,,,,,
1023,1,13,1,,1,20,20,5,1,1,,2,,,46,,,5,9,14,11,6,1,6,2,,,20,,,,,,,,1
1024,6,1,21,,8,6,16,5,1,8,4,16,,1,27,3,,14,26,17,17,,,1,,,3,,,,,,,,,
1025,12,8,1,,1,13,20,3,1,,1,2,,,25,3,,10,7,5,12,,3,3,,,,,,,,,,,,
1026,1,9,5,,2,26,15,9,1,,3,2,,,39,,,14,27,9,27,,,13,,,,2,,,,,,,,
1027,2,5,5,,,9,8,1,1,7,1,1,,,19,2,,6,35,8,11,,1,2,1,,,,,,,,,,,1
1028,16,4,5,,14,30,37,19,1,1,3,2,,1,74,3,,16,27,8,32,,2,6,3,,,2,,,,,,,,
1029,16,1,2,,9,7,5,4,1,1,,,,,31,,,7,10,6,6,,,5,17,,,,,,,,,,,
1030,40,1,,,,5,1,1,1,1,,4,11,,5,12,,1,13,5,15,,,5,8,,,,,,,,,,,
1031,7,3,7,,3,28,23,2,1,6,6,2,2,1,28,,,14,19,7,28,,2,9,,,,,,,,,,,,
1032,30,9,22,,,27,38,6,1,3,3,16,1,,25,26,,11,59,1,47,,,3,,1,,1,,2,,,,,,
1033,1,12,9,,,15,19,13,1,1,1,5,,,34,,,6,28,15,14,,1,13,2,3,,,,,,,,,,
1034,7,1,3,,,1,12,3,1,2,13,1,2,4,19,,,5,3,1,2,,,1,1,,,,,,,,,,,1
1035,11,4,7,,,8,7,1,1,1,,2,2,3,14,,,12,24,7,9,,2,1,,,,,,,,,,,,
1036,4,8,2,,1,8,12,3,1,2,3,3,,,9,,,9,31,5,8,,,2,,,,,,,,,,,,
1037,6,3,10,,,22,6,10,1,2,,2,3,,37,,,4,27,14,27,3,10,4,,1,2,,,,,,,,,
1038,2,1,11,,2,24,34,13,1,2,2,5,,1,175,,,21,80,2,30,,3,10,,,,,,,,,,,,
1039,6,17,3,,1,36,18,7,1,1,5,3,,,12,,,8,25,4,36,,,3,,,1,,,,,,,,,
1040,18,1,13,,1,14,6,3,1,6,8,21,7,1,50,,1,13,28,3,29,,1,6,,,,,,,,,,,,
1041,5,10,,,,8,7,4,1,3,30,5,,,19,,,14,19,1,9,1,1,1,,,,,,,,,,,,8
1042,3,5,3,,,24,15,33,1,4,2,2,2,1,28,,,25,39,5,13,,2,,,,,,,,,,,,,
1043,4,10,,,,22,4,2,1,3,2,2,,2,25,,,2,38,7,26,,3,5,,,,,,,,,,,,
1044,5,3,7,,,5,12,9,1,,2,2,,,43,2,,18,19,,12,,,9,,1,,,,,,,,,,
